TIPO_DOCUMENTO;NUMERO_DOCUMENTO;DATA_EMISSAO_NF;FORNECEDOR;CNPJ_FORNECEDOR;VALOR_BRUTO;DATA_PAGAMENTO;APROVADO_POR;STATUS;arquivo_origem;data_processamento;tem_anomalia;DATA_EMISSAO;DESCRICAO_SERVICO;BANCO_DESTINO;(DATA_PAGAMENTO == DATA_EMISSAO) ? DATA_EMISSAO : DATA_PAGAMENTO;HASH_VERIFICACAO;DATE;DATE_PAYMENT;APPROVED_BY;Fornecedor;Data_Emissao_NF;Data_Pagamento;.STATUS;DATE_PAGAMENTO; VALOR_BRUTO;NUMBER_DOCUMENTO;NUMERO.Documento;DATASET;FORNECEDOR_DATA;VALOR_BRUTO_DATA;ESTADO; STATUS;TIPO DOCUMENTO;NUMERO DOCUMENTO;DATA EMISSAO NF;CNPJ FORNECEDOR;VALOR BRUTO;DATA PAGAMENTO;APROVADO POR;DATA_EMISSAO_NF_original;DATA_PAGAMENTO_original;Tipo_documento;Número_documento;Data_emissao_nf;CNPJ_fornecedor;Valor_bruto;Data_pagamento;Aprovado_por;Status;DATA ПAGAMENTO
NOTA_FISCAL;NF-87397;28/01/2025;TechSoft Ltda;12345678000190;8500.0;07/02/2025;Maria Silva;PAGO;DOC_0001.txt;2026-04-22 00:45:14;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-38893;05/04/2023;TechSoft Ltda;12345678000190;3500.0;13/04/2023;Carlos Mendes;CANCELADO;DOC_0002.txt;2026-04-22 00:45:17;True;06/04/2023;Implantação de Módulo;Caixa Ag.0023 C/C 44321-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-54118;06/01/2023;Limpeza & Facilities;56789012000178;15000.0;01/02/2023;Ana Beatriz;PAGO;DOC_0003.txt;2026-04-22 00:45:19;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONTRATO_ADITIVO;NF-59615;08/04/2023;TechSoft Ltda;12345678000190;10000.0;22/04/2023;Roberto Lima;PAGO;DOC_0004.txt;2026-04-22 00:45:22;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RECIBO;NF-20458;03/10/2024;Limpeza & Facilities;56789012000178;85000.0;25/10/2024;Maria Silva;PAGO;DOC_0005.txt;2026-04-22 00:45:24;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-97841;25/01/2024;DataCenter Cloud SA;23456789000112;12000.0;;Ana Beatriz;PAGO;DOC_0006.txt;2026-04-22 00:45:27;True;;;;22/01/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-99733;29/06/2024;TechSoft Ltda;12345678000190;6000.0;24/07/2024;Roberto Lima;PAGO;DOC_0007.txt;2026-04-22 00:45:29;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NOTA_FISCAL;NF-37869;31/01/2023;TechSoft Ltda;12345678000190;15000.0;28/02/2023;Maria Silva;PENDENTE;DOC_0008.txt;2026-04-22 00:45:32;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONTRATO_ADITIVO;NF-86622;19/10/2024;Marketing Digital Pro;45678901000156;100000.0;04/11/2024;Carlos Mendes;PAGO;DOC_0009.txt;2026-04-22 00:45:34;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONTRATO_ADITIVO;NF-92240;05/01/2024;Limpeza & Facilities;56789012000178;19500.0;14/01/2024;Maria Silva;PAGO;DOC_0010.txt;2026-04-22 00:45:37;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
